"Id","NA_L3CODE","X","Y"
101,"1.1.1",326755.800383004,10275080.2545
102,"1.1.1",295872.773977002,10296819.5092
103,"1.1.1",312311.019279999,9483521.35634
104,"1.1.1",261955.916875005,10196831.127
105,"1.1.1",389424.198122999,9756707.87522
106,"1.1.1",323139.993626001,9530781.85321
107,"1.1.1",163921.191630003,10160014.746
108,"1.1.1",379094.442524002,9422388.06152
109,"1.1.1",305875.037611004,10262936.9552
110,"1.1.1",386896.865227,9742739.86566
111,"1.1.1",388088.548240999,9780318.31858
112,"1.1.1",120523.158029012,9821258.44182985
113,"1.1.1",103824.211072011,9809004.73510984
114,"1.1.1",67274.4131829036,9994238.47069994
115,"1.1.1",336195.419677023,9977707.60362991
116,"1.1.1",353329.912301,9787556.96687
117,"1.1.1",339276.267234001,9534535.06605
118,"1.1.1",87993.6795575111,9805163.95581983
119,"1.1.1",362357.385522032,9904287.69696988
120,"1.1.1",389874.053250999,9802637.62984
121,"1.1.1",359112.936597024,9965763.98356991
122,"1.1.1",410725.924270021,10041516.0418999
123,"1.1.1",342888.379265017,10040033.1390999
124,"1.1.1",347545.746481019,10000412.3954999
125,"1.1.1",384801.480477022,10022237.7893999
126,"1.1.1",368595.93164601,10126226.4612
127,"1.1.1",339277.893165006,10247499.6845
128,"1.1.1",395613.410159999,9409801.57498
129,"1.1.1",356152.72714,9460336.89511
130,"1.1.1",369892.447316011,10142644.0819
131,"1.1.1",260334.152666001,10287233.956
132,"1.1.1",363029.955397,9645508.25176
133,"1.1.1",405779.628561999,9791810.65056
134,"1.1.1",404461.489373041,9892386.87756986
135,"1.1.1",325347.355282,9808735.27274
136,"1.1.1",277462.857381007,10135533.5882
137,"1.1.1",350117.032767999,9544636.56944
138,"1.1.1",328970.310330003,10316205.2148
139,"1.1.1",209017.699220007,10091784.9637
140,"1.1.1",197218.789340004,10191309.8524
141,"1.1.1",285358.218714003,10268822.8903
142,"1.1.1",245148.398099001,9410053.22399
143,"1.1.1",312816.119388018,10009451.8571999
144,"1.1.1",334344.666224015,10039281.1529999
145,"1.1.1",418432.503618,9831047.78007
146,"1.1.1",344141.534810014,10066200.3461
147,"1.1.1",452606.435469014,10157136.2427
148,"1.1.1",358479.287835041,9852220.27228984
149,"1.1.1",428822.474201014,10163325.222
150,"1.1.1",299924.867950004,10277993.1078
151,"1.1.1",31920.5444024006,9986383.72817994
152,"1.1.1",309988.181927014,10037190.9074999
153,"1.1.1",370117.608967001,9758297.1148
154,"1.1.1",326875.686464012,10051220.0261
155,"1.1.1",385540.288086002,9748145.09941999
156,"1.1.1",203460.646302004,10115318.5757
157,"1.1.1",79625.1592101081,9832858.60148985
158,"1.1.1",382577.651123999,9529276.76283001
159,"1.1.1",340060.590483038,9866871.97086985
160,"1.1.1",31102.9970601007,10041518.0884
161,"1.1.1",288193.192995013,10055180.9461999
162,"1.1.1",416139.787587025,10012058.0314999
163,"1.1.1",25391.6104780006,9965988.68788994
164,"1.1.1",296382.740254998,9413071.94658001
165,"1.1.1",422446.443971011,10179333.8295
166,"1.1.1",381537.720699001,9435563.54677
167,"1.1.1",347885.535992999,9516421.7364
168,"1.1.1",190816.996657004,10111509.9517
169,"1.1.1",343422.057097998,9779566.10762001
170,"1.1.1",348436.162163012,10103086.2854
171,"1.1.1",376611.810921999,9496118.57174
172,"1.1.1",395033.463792001,9825621.06648999
173,"1.1.1",438537.326389999,9816033.95934
